match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,attendance,behind_closed_doors,neutral_ground,collection_status,play_status,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,home_managers,away_managers,data_version,shot_fidelity_version,xy_fidelity_version,season_name,result
3939825,2024-07-13,01:00:00.000,Mexico - Liga MX,2024/2025,América,Querétaro,3,1,,False,False,Complete,Normal,available,available,2024-07-17T02:00:15.132978,2024-07-17T02:00:15.132978,2,Apertura,Estadio Ciudad de los Deportes,Katia Itzel García,André Soares Jardine,Mauro Néstor Gerk Larrea,1.1.0,2,2,2024/2025,Win
3993382,2025-05-08,03:10:00.000,Mexico - Liga MX,2024/2025,Pachuca,América,0,0,,False,False,Complete,Normal,available,available,2025-05-16T00:43:01.119553,2025-05-16T00:43:01.119553,19,Quarter-finals,Estadio Hidalgo,Jesus Rafael Lopez Valle,Jorge Guillermo Almada Álves,André Soares Jardine,1.1.0,2,2,2024/2025,Draw
3972162,2025-04-19,23:00:00.000,Mexico - Liga MX,2024/2025,América,Mazatlán,5,0,,False,False,Complete,Normal,available,available,2025-04-20T13:54:04.712716,2025-04-20T13:54:04.712716,17,Clausura,Estadio Ciudad de los Deportes,Katia Itzel García,André Soares Jardine,Víctor Manuel Vucetich Rojas,1.1.0,2,2,2024/2025,Win
3939905,2024-09-30,00:00:00.000,Mexico - Liga MX,2024/2025,América,Pumas UNAM,0,1,,False,False,Complete,Normal,available,available,2024-10-04T01:49:41.139862,2024-10-04T01:49:41.139862,10,Apertura,Estadio Ciudad de los Deportes,Fernando Hernández Gómez,André Soares Jardine,Gustavo Alberto Lema,1.1.0,2,2,2024/2025,Loss
3972080,2025-02-20,01:00:00.000,Mexico - Liga MX,2024/2025,América,León,1,1,,False,False,Complete,Normal,available,available,2025-03-03T15:40:04.315541,2025-03-03T15:40:04.315541,9,Clausura,Estadio Ciudad de los Deportes,César Arturo Ramos Palazuelos,André Soares Jardine,Manuel Eduardo Berizzo,1.1.0,2,2,2024/2025,Draw
3970307,2024-12-06,02:00:00.000,Mexico - Liga MX,2024/2025,América,Cruz Azul,0,0,,False,False,Complete,Normal,available,available,2024-12-28T21:25:29.976608,2024-12-28T21:25:29.976608,22,Apertura - Semi-finals,Estadio Ciudad de los Deportes,Óscar Mejía García,André Soares Jardine,Martin Anselmi,1.1.0,2,2,2024/2025,Draw
3995374,2025-05-26,01:00:00.000,Mexico - Liga MX,2024/2025,Toluca,América,2,0,,False,False,Complete,Normal,available,available,2025-06-19T02:35:10.157305,2025-06-19T02:35:10.157305,24,Clausura - Final,Estadio Nemesio Díez,César Arturo Ramos Palazuelos,Antonio Ricardo Mohamed Matijevich,André Soares Jardine,1.1.0,2,2,2024/2025,Loss
3939841,2024-07-18,03:00:00.000,Mexico - Liga MX,2024/2025,Tigres UANL,América,1,0,,False,False,Complete,Normal,available,available,2024-07-24T15:16:36.182668,2024-07-24T15:16:36.182668,3,Apertura,Estadio Universitario de Nuevo León,Fernando Guerrero Ramírez,Veljko Paunovic,André Soares Jardine,1.1.0,2,2,2024/2025,Loss
3939859,2024-08-25,03:05:00.000,Mexico - Liga MX,2024/2025,América,Puebla,0,1,,False,False,Complete,Normal,available,available,2024-09-08T16:36:03.027909,2024-09-08T16:36:03.027909,5,Apertura,Estadio Ciudad de los Deportes,Luis Enrique Santander Aguirre,André Soares Jardine,José Manuel de la Torre Menchaca,1.1.0,2,2,2024/2025,Loss
3970308,2024-12-09,01:00:00.000,Mexico - Liga MX,2024/2025,Cruz Azul,América,3,4,,False,False,Complete,Normal,available,available,2025-04-13T19:09:53.379707,2025-04-13T19:09:53.379707,23,Apertura - Semi-finals,Estadio Ciudad de los Deportes,Adonai Escobedo González,Martin Anselmi,André Soares Jardine,1.1.0,2,2,2024/2025,Win
3939959,2024-11-07,01:00:00.000,Mexico - Liga MX,2024/2025,América,Pachuca,2,1,,False,False,Complete,Normal,available,available,2024-11-18T06:31:06.074147,2024-11-18T06:31:06.074147,16,Apertura,Estadio Cuauhtémoc,Fernando Guerrero Ramírez,André Soares Jardine,Jorge Guillermo Almada Álves,1.1.0,2,2,2024/2025,Win
3972136,2025-04-05,23:00:00.000,Mexico - Liga MX,2024/2025,Pachuca,América,1,0,,False,False,Complete,Normal,available,available,2025-04-14T16:37:25.790097,2025-04-14T16:37:25.790097,14,Clausura,Estadio Hidalgo,Fernando Hernández Gómez,Jorge Guillermo Almada Álves,André Soares Jardine,1.1.0,2,2,2024/2025,Loss
3972023,2025-01-17,02:10:00.000,Mexico - Liga MX,2024/2025,América,Tijuana,1,1,,False,False,Complete,Normal,available,available,2025-01-30T02:14:39.324419,2025-01-30T02:14:39.324419,2,Clausura,Estadio Ciudad de los Deportes,Katia Itzel García,Diego Alberto Cervantes Chávez,Juan Carlos Osorio Arbeláez,1.1.0,2,2,2024/2025,Draw
3969395,2024-11-30,23:00:00.000,Mexico - Liga MX,2024/2025,Toluca,América,0,2,,False,False,Complete,Normal,available,available,2025-01-18T00:19:36.499267,2025-01-18T00:19:36.499267,21,Apertura - Quarter-finals,Estadio Nemesio Díez,César Arturo Ramos Palazuelos,Renato Manuel Alves Paiva,André Soares Jardine,1.1.0,2,2,2024/2025,Win
3972155,2025-04-17,01:00:00.000,Mexico - Liga MX,2024/2025,Monterrey,América,1,0,,False,False,Complete,Normal,available,available,2025-04-18T00:52:48.486631,2025-04-18T00:52:48.486631,16,Clausura,Estadio BBVA,Daniel Quintero Huittrón,Martín Gastón Demichelis,André Soares Jardine,1.1.0,2,2,2024/2025,Loss
3939915,2024-11-10,01:00:00.000,Mexico - Liga MX,2024/2025,Toluca,América,4,0,,False,False,Complete,Normal,available,available,2024-11-20T20:58:26.620867,2024-11-20T20:58:26.620867,17,Apertura,Estadio Nemesio Díez,Víctor Alfonso Cáceres Hernández,Renato Manuel Alves Paiva,André Soares Jardine,1.1.0,2,2,2024/2025,Loss
3995373,2025-05-23,02:00:00.000,Mexico - Liga MX,2024/2025,América,Toluca,0,0,,False,False,Complete,Normal,available,available,2025-05-31T11:38:41.532973,2025-05-31T11:38:41.532973,23,Clausura - Final,Estadio Ciudad de los Deportes,Daniel Quintero Huittrón,André Soares Jardine,Antonio Ricardo Mohamed Matijevich,1.1.0,2,2,2024/2025,Draw
3972039,2025-01-26,01:05:00.000,Mexico - Liga MX,2024/2025,Santos Laguna,América,1,4,,False,False,Complete,Normal,available,available,2025-01-26T17:43:25.290717,2025-01-26T17:43:25.290717,3,Clausura,Estadio Nuevo Corona,Fernando Hernández Gómez,Fernando Ortiz,André Soares Jardine,1.1.0,2,2,2024/2025,Win
3939943,2024-11-02,03:00:00.000,Mexico - Liga MX,2024/2025,Mazatlán,América,0,5,,False,False,Complete,Normal,available,available,2024-11-02T13:10:37.889966,2024-11-02T13:10:37.889966,15,Apertura,Estadio El Encanto,Adonai Escobedo González,Víctor Manuel Vucetich Rojas,André Soares Jardine,1.1.0,2,2,2024/2025,Win
