match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,attendance,behind_closed_doors,neutral_ground,collection_status,play_status,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,home_managers,away_managers,data_version,shot_fidelity_version,xy_fidelity_version,season_name
3972131,2025-03-31,01:05:00.000,Mexico - Liga MX,2024/2025,León,Pumas UNAM,1,2,,False,False,Complete,Normal,available,available,2025-04-01T05:29:49.078690,2025-04-01T05:29:49.078690,13,Clausura,Estadio León,Adonai Escobedo González,Manuel Eduardo Berizzo,Efraín Juárez Váldez,1.1.0,2,2,2024/2025
3972054,2025-02-02,03:15:00.000,Mexico - Liga MX,2024/2025,Toluca,Tigres UANL,1,0,,False,False,Complete,Normal,available,available,2025-02-10T17:26:40.203406,2025-02-10T17:26:40.203406,5,Clausura,Estadio Nemesio Díez,Fernando Hernández Gómez,Antonio Ricardo Mohamed Matijevich,Veljko Paunovic,1.1.0,2,2,2024/2025
3939914,2024-10-07,02:05:00.000,Mexico - Liga MX,2024/2025,Santos Laguna,Juárez,0,2,,False,False,Complete,Normal,available,available,2025-01-05T04:47:06.897115,2025-01-05T04:47:06.897115,11,Apertura,Estadio Nuevo Corona,Ismael Rosario Lopez Peñuelas,Marcos Ignacio Ambriz Espinoza,Maurício Nogueira Barbieri,1.1.0,2,2,2024/2025
3939903,2024-09-29,03:05:00.000,Mexico - Liga MX,2024/2025,Guadalajara,Monterrey,1,1,,False,False,Complete,Normal,available,available,2025-01-03T00:13:34.009375,2025-01-03T00:13:34.009375,10,Apertura,Estadio Akron,Jesus Rafael Lopez Valle,Fernando Rubén Gago,Martín Gastón Demichelis,1.1.0,2,2,2024/2025
3994839,2025-05-19,01:15:00.000,Mexico - Liga MX,2024/2025,América,Cruz Azul,2,1,,False,False,Complete,Normal,available,available,2025-05-27T03:56:22.232660,2025-05-27T03:56:22.232660,22,Clausura - Semi-finals,Estadio Ciudad de los Deportes,Víctor Alfonso Cáceres Hernández,André Soares Jardine,Vicente Martín Sánchez Bragunde,1.1.0,2,2,2024/2025
3972127,2025-03-30,01:05:00.000,Mexico - Liga MX,2024/2025,América,Tigres UANL,3,0,,False,False,Complete,Normal,available,available,2025-04-11T15:24:31.599695,2025-04-11T15:24:31.599695,13,Clausura,Estadio Ciudad de los Deportes,Víctor Alfonso Cáceres Hernández,André Soares Jardine,Guido Hernán Pizarro Demestri,1.1.0,2,2,2024/2025
3939963,2024-11-09,23:05:00.000,Mexico - Liga MX,2024/2025,Guadalajara,Atlético San Luis,0,1,,False,False,Complete,Normal,available,available,2024-11-20T17:32:05.586261,2024-11-20T17:32:05.586261,17,Apertura,Estadio Akron,Daniel Quintero Huittrón,Arturo Ortega Juárez,Domènec Torrent Font,1.1.0,2,2,2024/2025
3939908,2024-10-05,23:00:00.000,Mexico - Liga MX,2024/2025,Tigres UANL,Puebla,1,0,,False,False,Complete,Normal,available,available,2024-10-06T15:47:24.669228,2024-10-06T15:47:24.669228,11,Apertura,Estadio Universitario de Nuevo León,Vicente Jassiel Reynoso Arce,Veljko Paunovic,José Manuel de la Torre Menchaca,1.1.0,2,2,2024/2025
3972147,2025-04-13,01:05:00.000,Mexico - Liga MX,2024/2025,Atlas,Toluca,2,3,,False,False,Complete,Normal,available,available,2025-04-15T16:22:43.255701,2025-04-15T16:22:43.255701,15,Clausura,Estadio Jalisco,Daniel Quintero Huittrón,Gonzalo Pineda Reyes,Antonio Ricardo Mohamed Matijevich,1.1.0,2,2,2024/2025
3972092,2025-02-26,01:00:00.000,Mexico - Liga MX,2024/2025,Tigres UANL,Juárez,0,1,,False,False,Complete,Normal,available,available,2025-02-26T12:45:34.717863,2025-02-26T12:45:34.717863,9,Clausura,Estadio Universitario de Nuevo León,Daniel Quintero Huittrón,Veljko Paunovic,Martín Varini Di Zioli,1.1.0,2,2,2024/2025
