50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,obv_against_after,obv_against_before,obv_against_net,obv_for_after,obv_for_before,obv_for_net,obv_total_net,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_outcome,pass_outswinging,pass_pass_cluster_id,pass_pass_cluster_label,pass_pass_cluster_probability,pass_pass_success_probability,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,pass_xclaim,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_gk_positioning_xg_suppression,shot_gk_save_difficulty_xg,shot_gk_shot_stopping_xg_suppression,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_shot_execution_xg,shot_shot_execution_xg_uplift,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.496,,,,,,,,,,,,,,88dfa091-05b8-5381-8def-a13f31299d3b,380,,,"[85.7, 36.8]",3939883,7,,0.0101439143,0.0094906604,0.0006532539,0.0251866188,0.0300142244,-0.0048276056,-0.0054808594,,,,2.536048,,Right Foot,,,"[77.9, 42.2]",,Ground Pass,9.49,,,2.0,Attacking third - Center - To right - Short - Ground Pass,0.9807123591,0.9067438245,Álvaro Fidalgo Fernández,47467.0,,,,,,,,1,Regular Play,Erick Daniel Sánchez Ocegueda,43555.0,Left Midfield,17,América,1229,"['5018fb8c-9630-5617-be5e-d9fe9a6578f9', '679e964a-8b17-5809-b1a3-d5a96a5ff2fb', 'ef0fd9be-a20b-505b-8753-9bdca77c6564']",5,,,,,,,,,,,,,,,,,,,,,,,,América,1229,00:07:05.935,Pass,True
,,,,,,,,,,,,,,,,,1.797,,,,,,,,,,,,,,32a3302a-75aa-5604-a9e8-460d3b4ac355,389,,,"[21.0, 60.2]",3939883,7,,0.0114303594,0.0120128728,-0.0005825134,0.0105413785,0.0114653436,-0.0009239651,-0.0003414517,,,,0.6062,,Right Foot,,,"[44.8, 76.7]",,Ground Pass,28.96,,,41.0,Defensive third - Right - Forwards - Long - High Pass,0.6007334512,0.9532336593,Israel Reyes Romero,33126.0,,,,,,,,1,Regular Play,Luis Ángel Malagón Velázquez,33098.0,Goalkeeper,17,América,1229,"['d0f2d1a2-c15f-5524-acaf-979d8ac02487', '1c2ef3c4-fe6e-5043-9902-ae130b013d31']",17,,,,,,,,,,,,,,,,,,,,,,,,América,1229,00:07:17.235,Pass,
,,,,,,,,,,,,,,,,,1.693,,,,,,,,,,,,,,3844714b-f139-59db-b026-90980815b12e,393,,,"[51.6, 77.0]",3939883,7,,0.0104850139,0.0107003888,-0.0002153749,0.0132995052,0.0114603993,0.001839106,0.0020544808,,,,-2.299874,,Right Foot,,,"[35.7, 59.2]",,Ground Pass,23.87,,,42.0,Defensive third - Right - To left - Short - Ground Pass,0.5955655203,0.9823535681,Néstor Alejandro Araújo Razo,11388.0,,,,,,,,1,Regular Play,Israel Reyes Romero,33126.0,Right Back,17,América,1229,"['72ea1040-6a78-59ba-9c69-9110281de0ff', 'af485c5b-7516-5cb4-a7d2-f16b97e5c3e3', '88263b13-8729-588c-83ef-9d70449edb9f']",24,,,,,,,,,,,,,,,,,,,,,,,,América,1229,00:07:24.314,Pass,True
,,,,,,,,,,,,,,,,,0.871,,,,,,,,,,,,,,1b92f17c-b68e-51ee-b38a-da71b2d83dee,396,,,"[40.7, 56.2]",3939883,7,,0.0109097399,0.0103749009,0.000534839,0.0142875798,0.0147645222,-0.0004769424,-0.0010117814,,,,-1.665341,,Right Foot,,,"[39.6, 44.6]",,Ground Pass,11.65,,,42.0,Defensive third - Right - To left - Short - Ground Pass,0.8370416875,0.9911770821,Álvaro Fidalgo Fernández,47467.0,,,,,,,,1,Regular Play,Néstor Alejandro Araújo Razo,11388.0,Right Center Back,17,América,1229,"['72a7ba64-d48a-582e-8945-58bd6500e52a', '5704a99f-660f-5882-af26-6d7eaf88af25']",32,,,,,,,,,,,,,,,,,,,,,,,,América,1229,00:07:32.487,Pass,
,,,,,,,,,,,,,,,,,1.615,,,,,,,,,,,,,,77f44de0-43ac-597a-aceb-ff205b18f53f,399,,,"[41.6, 36.5]",3939883,7,,0.0104025146,0.0100181,0.0003844146,0.0136726387,0.0148412734,-0.0011686347,-0.0015530493,,,,-1.601714,,Right Foot,,,"[41.0, 17.1]",,Ground Pass,19.41,,,30.0,Midfield third - Center - To left - Short - Ground Pass,0.5302630557,0.9890901446,Ramón Juárez Del Castillo,36167.0,,,,,,,,1,Regular Play,Álvaro Fidalgo Fernández,47467.0,Left Defensive Midfield,17,América,1229,"['3dc7de98-d540-59fd-a40a-1159fed25aba', '26085908-4fc3-5e8f-8397-3621b4582d2f']",34,,,,,,,,,,,,,,,,,,,,,,,,América,1229,00:07:34.808,Pass,
,,,,,,,,,,,,,,,,,2.527,,,,,,,,,,,,,,fc0d428f-26f3-594f-9b24-23d2de50a93e,402,,,"[41.0, 17.7]",3939883,7,,0.0124745118,0.0104323681,0.0020421436,0.0109771956,0.0136726387,-0.0026954431,-0.0047375867,,,,2.443529,,Right Foot,,,"[17.4, 37.5]",,Ground Pass,30.81,,,38.0,Midfield third - Left - Backwards - Long - Ground Pass,0.9820974569,0.9975608587,Luis Ángel Malagón Velázquez,33098.0,,,,,,,,1,Regular Play,Ramón Juárez Del Castillo,36167.0,Left Center Back,17,América,1229,"['e41cdd4d-1a1a-59e0-abda-e829847d11ed', 'da5fce9d-708d-5caa-ba48-9ebad88d6449']",37,,,,,,,,,,,,,,,,,,,,,,,,América,1229,00:07:37.791,Pass,
,,,,,,,,,,,,,,,,,1.762,,,,,,,,,,,,,,68a52e52-7953-5064-9e4e-5762fe4cd941,405,,,"[18.3, 38.9]",3939883,7,,0.0110308854,0.0121924672,-0.0011615818,0.011688089,0.0108895265,0.0007985625,0.0019601444,,,,1.114191,,Right Foot,,,"[32.3, 67.4]",,Ground Pass,31.75,,,44.0,Defensive third - Center - To right - Short - Ground Pass,0.9970384102,0.9932284951,Néstor Alejandro Araújo Razo,11388.0,,,,,,,,1,Regular Play,Luis Ángel Malagón Velázquez,33098.0,Goalkeeper,17,América,1229,"['2d2b1cce-2f8b-5df2-98a7-ccec3e24a189', '8bca01ae-3eeb-5269-aaa3-4679f99e8e87']",46,,,,,,,,,,,,,,,,,,,,,,,,América,1229,00:07:46.506,Pass,
,,,,,,,,,,,,,,,,,1.87,,,,,,,,,,,,,,e4deecaa-1feb-5147-bac9-0d3d03ea47a9,408,,,"[30.9, 53.4]",3939883,7,,0.0115399295,0.0109281698,0.0006117597,0.0117135709,0.013315822,-0.0016022511,-0.0022140108,,,,-1.771449,,Right Foot,,,"[24.9, 23.9]",,Ground Pass,30.1,,,26.0,Midfield third - Center - To left - Short - Ground Pass,0.5895184861,0.9965980649,Ramón Juárez Del Castillo,36167.0,,,,,,,,1,Regular Play,Néstor Alejandro Araújo Razo,11388.0,Right Center Back,17,América,1229,"['3d7f3b20-93f0-5cff-88bc-2d581d422c97', '5ace3a6b-c4a3-534f-af86-6954f09d3df9']",54,,,,,,,,,,,,,,,,,,,,,,,,América,1229,00:07:54.424,Pass,
,,,,,,,,,,,,,,,,,1.209,,,,,,,,,,,,,,fdbea20c-ef20-55a8-91e4-177a0afffe7f,411,,,"[21.8, 24.1]",3939883,7,,0.0126157338,0.0121357488,0.000479985,0.0070491745,0.010513003,-0.0034638285,-0.0039438135,,,,2.33381,,Right Foot,,,"[8.7, 37.8]",,Ground Pass,18.96,,,16.0,Defensive third - Left - To right - Short - Ground Pass,0.9960525382,0.9967589974,Luis Ángel Malagón Velázquez,33098.0,,,,,,,,1,Regular Play,Ramón Juárez Del Castillo,36167.0,Left Center Back,17,América,1229,"['f142f851-8b47-5887-b535-077f179ddc4c', '0f8a4219-8e0b-5380-9459-26e6d422f608']",58,,,,,,,,,,,,,,,,,,,,,,,,América,1229,00:07:58.695,Pass,
,,,,,,,,,,,,,,,,,2.259,,,,,,,,,,,,,,69fb56f6-ac0a-51c3-8499-3928af880c15,415,,,"[8.6, 40.3]",3939883,8,,0.0088098552,0.0130333221,-0.0042234669,0.0095717637,0.0070494181,0.0025223456,0.0067458125,,,,-0.238245,,Right Foot,,,"[64.6, 26.7]",,High Pass,57.63,Incomplete,,52.0,Defensive third - Center - Forwards - Long - High Pass,0.9983841187,0.2806562483,Paul Brian Rodríguez Bravo,30736.0,,,,,,,,1,Regular Play,Luis Ángel Malagón Velázquez,33098.0,Goalkeeper,17,América,1229,"['1bb00675-ecf5-5a8c-ba21-ce6903bb81c4', '9e1261fd-2e0b-52a9-b4f9-1d6ba8712e4c', '417e9da6-dacd-5232-a759-4e3eafc47928', 'a6f70dcb-131c-58c8-8bae-00f59f45d6cd']",1,,,,,,,,,,,,,,,,,,,,,,,,América,1229,00:08:01.644,Pass,True
